Date,Change
4/9/15,9.28
4/10/15,10.87
4/13/15,-9.63
4/14/15,3.41
4/15/15,10.79
4/16/15,-1.64
4/17/15,-23.81
4/20/15,19.22
4/21/15,-3.11
4/22/15,10.68
4/23/15,4.96
4/24/15,4.76
4/27/15,-8.77
4/28/15,5.84
4/29/15,-7.91
4/30/15,-21.34
5/1/15,22.78
5/4/15,6.2
5/5/15,-25.03
5/6/15,-9.32
5/7/15,7.85
5/8/15,28.1
5/11/15,-10.77
5/12/15,-6.21
5/13/15,-0.64
5/14/15,22.62
5/15/15,1.64
5/18/15,6.47
5/19/15,-1.38
5/20/15,-1.98
5/21/15,4.97
5/22/15,-4.76
5/26/15,-21.86
5/27/15,19.28
5/28/15,-2.69
5/29/15,-13.4
6/1/15,4.34
6/2/15,-2.13
6/3/15,4.47
6/4/15,-18.22
6/5/15,-3.01
6/8/15,-13.55
6/9/15,0.87
6/10/15,25.05
6/11/15,3.65
6/12/15,-14.75
6/15/15,-9.68
6/16/15,11.87
6/17/15,4.15
6/18/15,20.79
6/19/15,-11.25
6/22/15,12.86
6/23/15,1.35
6/24/15,-15.62
6/25/15,-6.27
6/26/15,-0.82
6/29/15,-43.85
6/30/15,5.47
7/1/15,14.31
7/2/15,-0.65
7/6/15,-8.02
7/7/15,12.58
7/8/15,-34.66
7/9/15,4.63
7/10/15,25.31
7/13/15,22.98
7/14/15,9.36
7/15/15,-1.55
7/16/15,16.88
7/17/15,2.36
7/20/15,1.64
7/21/15,-9.07
7/22/15,-5.06
7/23/15,-12
7/24/15,-22.5
7/27/15,-12.01
7/28/15,25.61
7/29/15,15.32
7/30/15,0.06
7/31/15,-4.79
8/3/15,-5.8
8/4/15,-4.72
8/5/15,6.52
8/6/15,-16.28
8/7/15,-5.99
8/10/15,26.61
8/11/15,-20.11
8/12/15,1.97
8/13/15,-2.66
8/14/15,8.16
8/17/15,10.89
8/18/15,-5.52
8/19/15,-17.31
8/20/15,-43.88
8/21/15,-64.85
8/24/15,-77.68
8/25/15,-25.6
8/26/15,72.9
8/27/15,47.15
8/28/15,1.21
8/31/15,-16.69
